order_id,supplier_id,warehouse_id,product_id,quantity,unit_cost,total_cost,order_date,expected_delivery,order_status,priority,,,,0
PO000035,SUP0059,WH005,PRD0423,150,26977.04,4046556,03-09-2022,29-09-2022,Pending,Critical,,,,
PO000036,SUP0086,WH012,PRD0446,811,10614.13,8608059.43,20-04-2024,22-05-2024,Pending,Medium,,,,
PO000037,SUP0175,WH002,PRD0458,360,8953.37,3223213.2,07-07-2024,02-08-2024,Delivered,Low,,,,
PO000038,SUP0076,WH016,PRD0330,999,7930.68,7922749.32,01-12-2024,03-01-2025,In Transit,Low,,,,
PO000039,SUP0121,WH019,PRD0228,760,22507.08,17105380.8,27-02-2024,09-03-2024,Delivered,Critical,,,,
PO000040,SUP0192,WH009,PRD0161,613,37429.11,22944044.43,13-10-2022,19-10-2022,Delivered,Medium,,,,
PO000041,SUP0068,WH001,PRD0452,302,23623.53,7134306.06,10-05-2024,19-05-2024,In Transit,Critical,,,,
PO000042,SUP0038,WH002,PRD0182,177,40329.89,7138390.53,11-11-2024,07-12-2024,Cancelled,High,,,,
PO000043,SUP0018,WH013,PRD0417,287,34703.56,9959921.72,18-04-2024,11-05-2024,Cancelled,Low,,,,
PO000044,SUP0148,WH013,PRD0215,534,7764.14,4146050.76,06-04-2024,17-04-2024,In Transit,Low,,,,
PO000045,SUP0109,WH008,PRD0332,276,13980.04,3858491.04,04-10-2022,20-10-2022,Delivered,Low,,,,
PO000046,SUP0104,WH005,PRD0462,986,2267.57,2235824.02,10-11-2022,26-11-2022,Delivered,Medium,,,,
PO000047,SUP0297,WH014,PRD0077,13,35232.28,458019.64,17-01-2024,13-02-2024,In Transit,Low,,,,
PO000048,SUP0085,WH019,PRD0120,359,16404.84,5889337.56,16-03-2023,17-04-2023,Delivered,High,,,,
PO000049,SUP0258,WH006,PRD0120,761,16404.84,12484083.24,07-08-2024,31-08-2024,In Transit,Medium,,,,
PO000050,SUP0089,WH005,PRD0244,765,36467.09,27897323.85,27-03-2022,29-04-2022,Delivered,Medium,,,,
PO000051,SUP0265,WH017,PRD0470,901,13139.01,11838248.01,08-02-2024,27-02-2024,Pending,Medium,,,,
PO000052,SUP0216,WH013,PRD0269,584,36862.93,21527951.12,09-04-2022,09-05-2022,Pending,High,,,,
PO000053,SUP0254,WH007,PRD0050,822,40455.62,33254519.64,02-01-2024,29-01-2024,Delivered,High,,,,
PO000054,SUP0098,WH002,PRD0340,309,16665.43,5149617.87,22-05-2022,17-06-2022,Delivered,High,,,,
PO000055,SUP0101,WH012,PRD0059,173,34702.3,6003497.9,05-07-2023,29-07-2023,Pending,High,,,,
PO000056,SUP0102,WH015,PRD0029,976,12708.82,12403808.32,08-06-2022,05-07-2022,Pending,Low,,,,
PO000057,SUP0195,WH001,PRD0184,973,9492.86,9236552.78,08-07-2023,05-08-2023,Delivered,Low,,,,
PO000058,SUP0012,WH001,PRD0091,226,7983.38,1804243.88,20-06-2022,27-06-2022,Delivered,Low,,,,
PO000059,SUP0223,WH004,PRD0337,456,4635.69,2113874.64,28-12-2022,24-01-2023,In Transit,Critical,,,,
PO000060,SUP0286,WH013,PRD0394,582,37369.85,21749252.7,11-05-2024,19-05-2024,Delivered,High,,,,
PO000061,SUP0272,WH008,PRD0033,962,5557.53,5346343.86,09-04-2022,08-05-2022,Pending,Low,,,,
PO000062,SUP0139,WH010,PRD0319,649,39865.79,25872897.71,15-04-2022,02-05-2022,In Transit,Low,,,,
PO000063,SUP0135,WH003,PRD0398,402,942.86,379029.72,01-12-2022,25-12-2022,In Transit,Critical,,,,
PO000064,SUP0219,WH011,PRD0261,250,41233.11,10308277.5,18-12-2024,09-01-2025,Delivered,Critical,,,,
PO000065,SUP0107,WH003,PRD0303,957,20999.41,20096435.37,24-08-2023,19-09-2023,Delivered,Low,,,,
PO000066,SUP0011,WH002,PRD0289,95,12516.27,1189045.65,28-03-2024,15-04-2024,Delivered,Critical,,,,
PO000067,SUP0297,WH001,PRD0011,134,27755.57,3719246.38,07-04-2023,09-05-2023,Cancelled,Low,,,,
PO000068,SUP0007,WH014,PRD0426,971,45324.55,44010138.05,27-03-2023,09-04-2023,Cancelled,High,,,,
PO000069,SUP0091,WH014,PRD0054,327,42291.34,13829268.18,13-07-2022,31-07-2022,Delivered,Low,,,,
PO000070,SUP0138,WH017,PRD0156,266,42638.86,11341936.76,25-03-2024,06-04-2024,Cancelled,Low,,,,
PO000071,SUP0018,WH020,PRD0425,81,40650.86,3292719.66,13-08-2023,30-08-2023,Delivered,Critical,,,,
PO000072,SUP0112,WH017,PRD0157,858,41336.7,35466888.6,17-05-2023,25-05-2023,Cancelled,Medium,,,,
PO000073,SUP0236,WH010,PRD0077,204,35232.28,7187385.12,05-09-2023,04-10-2023,Delivered,High,,,,
PO000074,SUP0265,WH003,PRD0117,579,25102.34,14534254.86,19-03-2023,04-04-2023,Delivered,Critical,,,,
PO000075,SUP0298,WH003,PRD0006,442,3767.98,1665447.16,15-07-2022,23-07-2022,Delivered,Low,,,,
PO000076,SUP0100,WH003,PRD0398,257,942.86,242315.02,04-04-2023,26-04-2023,Cancelled,High,,,,
PO000077,SUP0159,WH006,PRD0424,578,3862.46,2232501.88,07-11-2024,08-12-2024,Pending,Low,,,,
PO000078,SUP0166,WH001,PRD0495,867,12239.34,10611507.78,13-05-2022,14-06-2022,Pending,Low,,,,
PO000079,SUP0227,WH009,PRD0246,565,43372.73,24505592.45,07-06-2024,01-07-2024,Delivered,Low,,,,
PO000080,SUP0167,WH018,PRD0483,699,10165.19,7105467.81,26-04-2022,18-05-2022,Pending,Critical,,,,
PO000081,SUP0244,WH006,PRD0310,365,36206.45,13215354.25,24-03-2024,24-04-2024,Pending,High,,,,
PO000082,SUP0011,WH001,PRD0311,617,48866.82,30150827.94,05-03-2023,28-03-2023,Delivered,Low,,,,
PO000083,SUP0274,WH011,PRD0489,699,27999.78,19571846.22,27-05-2024,15-06-2024,Delivered,High,,,,
PO000084,SUP0052,WH018,PRD0152,43,15971.08,686756.44,14-06-2024,27-06-2024,Cancelled,Medium,,,,
PO000085,SUP0021,WH006,PRD0322,104,19049.56,1981154.24,14-07-2023,13-08-2023,Pending,Critical,,,,
PO000086,SUP0191,WH019,PRD0329,862,44613.89,38457173.18,04-05-2023,11-05-2023,Delivered,Medium,,,,
PO000087,SUP0033,WH009,PRD0349,110,22923.66,2521602.6,13-06-2022,07-07-2022,Pending,Medium,,,,
PO000088,SUP0064,WH020,PRD0341,306,18228.4,5577890.4,05-07-2023,13-07-2023,Cancelled,Medium,,,,
PO000089,SUP0148,WH001,PRD0281,530,44652.97,23666074.1,05-05-2024,15-05-2024,In Transit,Medium,,,,
PO000090,SUP0136,WH010,PRD0223,770,27118.31,20881098.7,27-02-2023,14-03-2023,Delivered,Critical,,,,
PO000091,SUP0117,WH016,PRD0334,77,28694.44,2209471.88,08-05-2023,15-06-2023,Delivered,Medium,,,,
PO000092,SUP0233,WH003,PRD0473,373,24239.63,9041381.99,21-03-2024,16-04-2024,Cancelled,Low,,,,
PO000093,SUP0034,WH001,PRD0425,231,40650.86,9390348.66,01-12-2024,23-12-2024,Delivered,Critical,,,,
PO000094,SUP0255,WH001,PRD0111,755,24794.9,18720149.5,08-10-2022,20-10-2022,Cancelled,Critical,,,,
PO000095,SUP0095,WH005,PRD0497,891,19195.39,17103092.49,10-08-2024,12-09-2024,Delivered,Low,,,,
PO000096,SUP0155,WH002,PRD0321,43,24185.48,1039975.64,19-04-2024,19-05-2024,Delivered,Critical,,,,
PO000097,SUP0070,WH010,PRD0294,366,45354.02,16599571.32,23-03-2024,26-03-2024,Delivered,High,,,,
PO000098,SUP0275,WH007,PRD0342,434,11165.18,4845688.12,06-05-2024,28-05-2024,Delivered,Critical,,,,
PO000099,SUP0041,WH013,PRD0363,432,1361.08,587986.56,20-05-2024,28-05-2024,In Transit,Low,,,,
PO000100,SUP0286,WH006,PRD0395,41,1990.53,81611.73,08-05-2024,14-05-2024,Cancelled,Low,,,,
PO000101,SUP0082,WH017,PRD0442,237,7034.52,1667181.24,11-05-2023,27-05-2023,Delivered,Critical,,,,
PO000102,SUP0083,WH009,PRD0192,811,48037.04,38958039.44,05-01-2022,21-01-2022,In Transit,Critical,,,,
PO000103,SUP0143,WH016,PRD0323,336,44009.52,14787198.72,06-11-2024,29-11-2024,Pending,Medium,,,,
PO000104,SUP0025,WH017,PRD0205,578,18829.84,10883647.52,05-10-2024,09-11-2024,Delivered,Low,,,,
PO000105,SUP0204,WH011,PRD0396,443,27948.4,12381141.2,11-06-2024,13-07-2024,Cancelled,Low,,,,
PO000106,SUP0046,WH008,PRD0499,653,41625.63,27181536.39,06-07-2022,21-07-2022,Cancelled,Critical,,,,
PO000107,SUP0118,WH011,PRD0042,198,17480.18,3461075.64,02-12-2022,20-12-2022,Cancelled,Critical,,,,
PO000108,SUP0195,WH007,PRD0374,278,34164.68,9497781.04,17-06-2023,25-06-2023,Delivered,Critical,,,,
PO000109,SUP0223,WH011,PRD0142,764,24718.7,18885086.8,05-10-2022,07-11-2022,Pending,High,,,,
PO000110,SUP0070,WH016,PRD0228,485,22507.08,10915933.8,22-08-2022,08-09-2022,In Transit,High,,,,
PO000111,SUP0275,WH015,PRD0315,485,32395.21,15711676.85,02-08-2022,26-08-2022,In Transit,Medium,,,,
PO000112,SUP0063,WH012,PRD0251,21,25305.81,531422.01,11-07-2023,04-08-2023,Cancelled,Medium,,,,
PO000113,SUP0065,WH004,PRD0478,941,364,342524,18-07-2024,16-08-2024,Delivered,Medium,,,,
PO000114,SUP0097,WH005,PRD0489,235,27999.78,6579948.3,12-01-2023,26-01-2023,Delivered,Medium,,,,
PO000115,SUP0020,WH007,PRD0113,972,43054.62,41849090.64,07-04-2024,01-05-2024,Delivered,Medium,,,,
PO000116,SUP0237,WH009,PRD0244,370,36467.09,13492823.3,11-06-2023,07-07-2023,Delivered,Low,,,,
PO000117,SUP0232,WH004,PRD0086,605,34894.72,21111305.6,26-04-2022,30-05-2022,Delivered,High,,,,
PO000118,SUP0175,WH006,PRD0363,702,1361.08,955478.16,21-06-2023,29-06-2023,Cancelled,Critical,,,,
PO000119,SUP0254,WH001,PRD0241,39,40887.56,1594614.84,20-09-2023,03-10-2023,Delivered,Low,,,,
PO000120,SUP0015,WH014,PRD0365,958,41985.15,40221773.7,23-12-2023,01-01-2024,Delivered,High,,,,
PO000121,SUP0184,WH012,PRD0302,357,33157.9,11837370.3,11-05-2024,06-06-2024,In Transit,Medium,,,,
PO000122,SUP0119,WH010,PRD0428,943,38630.03,36428118.29,03-02-2024,20-02-2024,In Transit,Low,,,,
PO000123,SUP0042,WH007,PRD0058,362,28782.82,10419380.84,08-06-2023,19-06-2023,Delivered,Medium,,,,
PO000124,SUP0284,WH009,PRD0412,585,49716.22,29083988.7,27-03-2023,29-04-2023,Delivered,High,,,,
PO000125,SUP0161,WH007,PRD0194,285,29488.61,8404253.85,26-12-2023,12-01-2024,Delivered,Low,,,,
PO000126,SUP0032,WH005,PRD0017,322,36072.88,11615467.36,05-08-2023,27-08-2023,Delivered,High,,,,
PO000127,SUP0182,WH019,PRD0133,263,2297.49,604239.87,02-04-2023,15-04-2023,Delivered,Critical,,,,
PO000128,SUP0058,WH020,PRD0043,836,16013.58,13387352.88,01-03-2024,15-03-2024,Pending,Medium,,,,
PO000129,SUP0163,WH016,PRD0197,378,1715.9,648610.2,27-10-2022,12-11-2022,Delivered,Critical,,,,
PO000130,SUP0261,WH015,PRD0144,436,17386.54,7580531.44,08-08-2022,25-08-2022,Pending,Low,,,,
PO000131,SUP0112,WH011,PRD0498,488,15854.96,7737220.48,04-04-2024,01-05-2024,Cancelled,Low,,,,
PO000132,SUP0090,WH002,PRD0102,288,26572.36,7652839.68,03-01-2023,26-01-2023,Delivered,Low,,,,
PO000133,SUP0128,WH003,PRD0064,86,8445.95,726351.7,01-02-2022,08-02-2022,Delivered,High,,,,
PO000134,SUP0090,WH015,PRD0198,623,11122.67,6929423.41,06-07-2022,19-07-2022,Delivered,Critical,,,,
PO000135,SUP0165,WH003,PRD0182,188,40329.89,7582019.32,22-05-2024,16-06-2024,Pending,Low,,,,
PO000136,SUP0111,WH007,PRD0023,537,24601.26,13210876.62,24-06-2024,01-08-2024,Delivered,Critical,,,,
PO000137,SUP0057,WH009,PRD0441,576,17317.11,9974655.36,07-12-2023,30-12-2023,Delivered,Medium,,,,
PO000138,SUP0247,WH004,PRD0406,781,7154.56,5587711.36,05-04-2022,10-04-2022,Cancelled,Critical,,,,
PO000139,SUP0040,WH019,PRD0466,983,43850.64,43105179.12,26-02-2023,12-03-2023,Delivered,Low,,,,
PO000140,SUP0226,WH020,PRD0233,644,716.95,461715.8,19-12-2023,13-01-2024,Pending,Critical,,,,
PO000141,SUP0067,WH018,PRD0395,776,1990.53,1544651.28,12-09-2023,23-09-2023,Delivered,Low,,,,
PO000142,SUP0070,WH003,PRD0445,934,16578.22,15484057.48,06-02-2024,04-03-2024,Delivered,Medium,,,,
PO000143,SUP0269,WH019,PRD0215,788,7764.14,6118142.32,26-05-2024,29-05-2024,Delivered,Critical,,,,
PO000144,SUP0096,WH012,PRD0450,937,28223.87,26445766.19,03-01-2024,07-02-2024,Delivered,High,,,,
PO000145,SUP0185,WH005,PRD0487,168,19817.64,3329363.52,12-08-2024,30-08-2024,In Transit,Medium,,,,
PO000146,SUP0176,WH012,PRD0345,258,37151.29,9585032.82,09-11-2022,19-11-2022,Delivered,Low,,,,
PO000147,SUP0248,WH019,PRD0065,497,14675.29,7293619.13,09-11-2023,26-11-2023,Delivered,Medium,,,,
PO000148,SUP0156,WH001,PRD0268,480,32804.49,15746155.2,28-01-2023,13-02-2023,Delivered,Critical,,,,
PO000149,SUP0066,WH020,PRD0275,288,11244.06,3238289.28,05-02-2024,27-02-2024,Pending,Medium,,,,
PO000150,SUP0275,WH012,PRD0100,169,15736.24,2659424.56,04-09-2022,18-09-2022,Delivered,Critical,,,,
PO000151,SUP0157,WH017,PRD0483,951,10165.19,9667095.69,17-10-2023,05-11-2023,Delivered,Low,,,,
PO000152,SUP0233,WH019,PRD0441,611,17317.11,10580754.21,08-06-2024,05-07-2024,Delivered,Low,,,,
PO000153,SUP0013,WH004,PRD0405,175,48271.73,8447552.75,23-04-2024,30-04-2024,Pending,Medium,,,,
PO000154,SUP0118,WH019,PRD0245,818,10648.39,8710383.02,07-05-2022,08-06-2022,Cancelled,Critical,,,,
PO000155,SUP0131,WH002,PRD0091,221,7983.38,1764326.98,03-02-2024,12-02-2024,Delivered,Critical,,,,
PO000156,SUP0076,WH007,PRD0292,447,26253.47,11735301.09,03-02-2023,28-02-2023,Delivered,Critical,,,,
PO000157,SUP0074,WH008,PRD0424,526,3862.46,2031653.96,13-02-2022,18-03-2022,Pending,High,,,,
PO000158,SUP0243,WH007,PRD0443,583,14112.39,8227523.37,19-06-2024,03-07-2024,Pending,High,,,,
PO000159,SUP0088,WH015,PRD0070,771,5210.58,4017357.18,14-03-2022,02-04-2022,In Transit,High,,,,
PO000160,SUP0192,WH013,PRD0180,87,36879.3,3208499.1,02-09-2024,26-09-2024,In Transit,Low,,,,
PO000161,SUP0227,WH014,PRD0273,68,6484.41,440939.88,03-04-2024,06-05-2024,Pending,Critical,,,,
PO000162,SUP0246,WH001,PRD0097,240,11386.92,2732860.8,18-04-2022,01-05-2022,In Transit,Medium,,,,
PO000163,SUP0072,WH008,PRD0161,402,37429.11,15046502.22,22-12-2024,02-01-2025,Cancelled,Low,,,,
PO000164,SUP0300,WH019,PRD0325,500,716.77,358385,14-04-2022,19-05-2022,In Transit,Medium,,,,
PO000165,SUP0006,WH011,PRD0275,338,11244.06,3800492.28,12-05-2022,29-05-2022,Delivered,Critical,,,,
PO000166,SUP0152,WH015,PRD0190,649,18742.18,12163674.82,24-11-2023,17-12-2023,Delivered,Low,,,,
PO000167,SUP0299,WH017,PRD0023,545,24601.26,13407686.7,17-06-2024,19-07-2024,In Transit,Low,,,,
PO000168,SUP0024,WH016,PRD0096,170,4849.67,824443.9,13-11-2023,06-12-2023,Delivered,Medium,,,,
PO000169,SUP0138,WH019,PRD0246,592,43372.73,25676656.16,24-10-2024,18-11-2024,Delivered,Medium,,,,
PO000170,SUP0045,WH016,PRD0272,167,42047.87,7021994.29,23-03-2022,07-04-2022,Delivered,Low,,,,
PO000171,SUP0243,WH017,PRD0057,472,34702.48,16379570.56,24-10-2024,17-11-2024,Delivered,Low,,,,
PO000172,SUP0271,WH005,PRD0201,244,36491.37,8903894.28,24-05-2022,12-06-2022,Cancelled,Medium,,,,
PO000173,SUP0011,WH009,PRD0143,365,12331.83,4501117.95,13-04-2023,06-05-2023,Pending,High,,,,
PO000174,SUP0050,WH017,PRD0256,934,32404.26,30265578.84,26-12-2024,06-01-2025,Cancelled,High,,,,
PO000175,SUP0117,WH005,PRD0164,21,34345.63,721258.23,05-12-2022,01-01-2023,Pending,Low,,,,
PO000176,SUP0176,WH017,PRD0223,811,27118.31,21992949.41,28-12-2023,12-01-2024,Delivered,Low,,,,
PO000177,SUP0177,WH019,PRD0364,178,13422.22,2389155.16,25-03-2024,07-04-2024,Delivered,High,,,,
PO000178,SUP0206,WH002,PRD0168,714,28736.82,20518089.48,05-05-2023,24-05-2023,Delivered,Low,,,,
PO000179,SUP0147,WH004,PRD0273,96,6484.41,622503.36,17-07-2024,13-08-2024,Delivered,Low,,,,
PO000180,SUP0237,WH008,PRD0080,770,43317.33,33354344.1,22-06-2022,30-06-2022,Delivered,High,,,,
PO000181,SUP0221,WH003,PRD0110,910,19648.38,17880025.8,23-08-2024,22-09-2024,Delivered,High,,,,
PO000182,SUP0249,WH004,PRD0308,24,33614.49,806747.76,02-10-2022,01-11-2022,Delivered,High,,,,
PO000183,SUP0262,WH015,PRD0270,232,17224.04,3995977.28,24-11-2024,24-12-2024,Cancelled,Critical,,,,
PO000184,SUP0091,WH007,PRD0256,628,32404.26,20349875.28,27-05-2023,14-06-2023,Delivered,Low,,,,
PO000185,SUP0025,WH011,PRD0202,269,12552.09,3376512.21,10-05-2022,25-05-2022,Delivered,Low,,,,
PO000186,SUP0037,WH011,PRD0408,957,45186.96,43243920.72,19-06-2024,01-07-2024,Delivered,Medium,,,,
PO000187,SUP0221,WH006,PRD0108,59,30418.9,1794715.1,24-01-2024,23-02-2024,Delivered,Low,,,,
PO000188,SUP0221,WH015,PRD0133,737,2297.49,1693250.13,18-04-2023,01-05-2023,In Transit,Medium,,,,
PO000189,SUP0298,WH009,PRD0460,693,45109.04,31260564.72,11-02-2022,12-03-2022,Delivered,Low,,,,
PO000190,SUP0039,WH020,PRD0348,630,46338.66,29193355.8,13-11-2022,21-11-2022,Delivered,Low,,,,
PO000191,SUP0128,WH012,PRD0227,917,40042.47,36718944.99,05-07-2024,16-07-2024,In Transit,Medium,,,,
PO000192,SUP0230,WH010,PRD0197,477,1715.9,818484.3,16-06-2023,08-07-2023,Pending,Medium,,,,
PO000193,SUP0250,WH018,PRD0072,391,43277.99,16921694.09,24-10-2022,28-11-2022,In Transit,High,,,,
PO000194,SUP0226,WH017,PRD0151,317,15818.94,5014603.98,07-06-2023,06-07-2023,Delivered,High,,,,
PO000195,SUP0050,WH010,PRD0026,312,1443.11,450250.32,19-11-2023,17-12-2023,In Transit,Low,,,,
PO000196,SUP0206,WH006,PRD0201,108,36491.37,3941067.96,15-10-2023,04-11-2023,Delivered,Low,,,,
PO000197,SUP0288,WH016,PRD0299,566,1085.11,614172.26,07-10-2024,23-10-2024,Delivered,Low,,,,
PO000198,SUP0162,WH016,PRD0268,247,32804.49,8102709.03,08-05-2024,29-05-2024,Delivered,High,,,,
PO000199,SUP0298,WH013,PRD0062,109,19258.81,2099210.29,06-08-2022,28-08-2022,Pending,Medium,,,,
PO000200,SUP0003,WH005,PRD0284,555,38083.54,21136364.7,23-04-2024,19-05-2024,Delivered,High,,,,
PO000201,SUP0095,WH001,PRD0188,356,3071.84,1093575.04,03-02-2023,27-02-2023,Pending,High,,,,
PO000202,SUP0151,WH013,PRD0468,909,458.98,417212.82,11-04-2024,10-05-2024,In Transit,High,,,,
PO000203,SUP0273,WH003,PRD0294,423,45354.02,19184750.46,11-02-2024,23-02-2024,Delivered,Critical,,,,
PO000204,SUP0286,WH004,PRD0426,373,45324.55,16906057.15,27-03-2022,13-04-2022,In Transit,High,,,,
PO000205,SUP0034,WH013,PRD0095,502,36326.82,18236063.64,11-07-2023,03-08-2023,Pending,Critical,,,,
PO000206,SUP0097,WH019,PRD0248,276,26261.88,7248278.88,19-02-2022,04-03-2022,Delivered,Critical,,,,
PO000207,SUP0151,WH006,PRD0409,930,42587.8,39606654,13-09-2023,22-09-2023,Delivered,High,,,,
PO000208,SUP0022,WH001,PRD0035,603,20040.93,12084680.79,14-01-2022,17-02-2022,Delivered,High,,,,
PO000209,SUP0197,WH004,PRD0276,657,18646.95,12251046.15,26-08-2022,08-09-2022,In Transit,Critical,,,,
PO000210,SUP0110,WH005,PRD0344,71,2384.33,169287.43,09-01-2023,27-01-2023,Delivered,Low,,,,
PO000211,SUP0202,WH006,PRD0017,418,36072.88,15078463.84,11-02-2024,07-03-2024,Cancelled,Medium,,,,
PO000212,SUP0183,WH017,PRD0383,294,14749.36,4336311.84,17-02-2024,11-03-2024,Cancelled,Low,,,,
PO000213,SUP0032,WH011,PRD0497,695,19195.39,13340796.05,21-06-2022,24-07-2022,Cancelled,Low,,,,
PO000214,SUP0229,WH016,PRD0301,703,34318.43,24125856.29,15-03-2024,28-03-2024,Delivered,Low,,,,
PO000215,SUP0201,WH009,PRD0413,182,33617.09,6118310.38,25-02-2024,09-03-2024,In Transit,Medium,,,,
PO000216,SUP0179,WH011,PRD0014,182,34297.27,6242103.14,19-04-2023,02-05-2023,Delivered,Low,,,,
PO000217,SUP0283,WH004,PRD0432,552,33004.72,18218605.44,21-06-2024,26-07-2024,Pending,Low,,,,
PO000218,SUP0021,WH005,PRD0192,319,48037.04,15323815.76,25-03-2023,07-04-2023,Delivered,Low,,,,
PO000219,SUP0070,WH013,PRD0362,290,26741.75,7755107.5,18-11-2022,19-12-2022,Delivered,Critical,,,,
PO000220,SUP0259,WH001,PRD0066,582,39058.94,22732303.08,10-07-2022,10-08-2022,Delivered,Critical,,,,
PO000221,SUP0286,WH006,PRD0275,395,11244.06,4441403.7,07-07-2023,24-07-2023,Delivered,High,,,,
PO000222,SUP0223,WH017,PRD0212,540,48722.48,26310139.2,04-11-2024,02-12-2024,Delivered,Critical,,,,
PO000223,SUP0003,WH004,PRD0149,243,25320.85,6152966.55,08-11-2024,22-11-2024,In Transit,Critical,,,,
PO000224,SUP0260,WH014,PRD0010,526,27781.53,14613084.78,07-05-2024,13-05-2024,Delivered,Medium,,,,
PO000225,SUP0018,WH017,PRD0163,18,49130.11,884341.98,07-12-2023,20-12-2023,In Transit,Medium,,,,
PO000226,SUP0234,WH007,PRD0029,801,12708.82,10179764.82,06-12-2024,06-01-2025,Delivered,Medium,,,,
PO000227,SUP0249,WH012,PRD0125,667,35104.83,23414921.61,17-06-2023,11-07-2023,Delivered,Medium,,,,
PO000228,SUP0069,WH001,PRD0353,301,30347.42,9134573.42,26-11-2023,19-12-2023,Delivered,Medium,,,,
PO000229,SUP0135,WH001,PRD0282,850,9099.8,7734830,13-04-2024,04-05-2024,Cancelled,Low,,,,
PO000230,SUP0236,WH007,PRD0272,485,42047.87,20393216.95,08-02-2022,24-02-2022,In Transit,Low,,,,
PO000231,SUP0193,WH007,PRD0290,390,25216.49,9834431.1,04-08-2023,13-08-2023,Delivered,High,,,,
