shipment_id,order_id,carrier,transport_mode,shipment_date,expected_delivery,actual_delivery,delay_days,shipment_status,weight_kg,shipment_cost,,,10046
SHP000043,PO000043,BlueDart,Road,18-04-2024,11-05-2024,Not Delivered,0,Cancelled,328.75,2857.31,,,
SHP000044,PO000044,DTDC,Rail,06-04-2024,17-04-2024,16-04-2024,0,In Transit,3456.38,15391.46,,,
SHP000045,PO000045,Delhivery,Air,04-10-2022,20-10-2022,23-10-2022,3,Delivered,1510.06,79265.68,,,
SHP000046,PO000046,Safexpress,Air,10-11-2022,26-11-2022,09-12-2022,13,Delivered,695.72,28052.35,,,
SHP000047,PO000047,DTDC,Road,17-01-2024,13-02-2024,28-02-2024,15,In Transit,1475.93,10999.13,,,
SHP000048,PO000048,Ecom Express,Sea,16-03-2023,17-04-2023,29-04-2023,12,Delivered,3867.93,10709.78,,,
SHP000049,PO000049,BlueDart,Road,07-08-2024,31-08-2024,09-09-2024,9,In Transit,1328.9,10752.19,,,
SHP000050,PO000050,Delhivery,Road,27-03-2022,29-04-2022,26-04-2022,0,Delivered,381.24,3534.62,,,
SHP000051,PO000051,Shadowfax,Road,08-02-2024,27-02-2024,Not Delivered,0,Not Shipped,2797.46,19236.56,,,
SHP000052,PO000052,DTDC,Road,09-04-2022,09-05-2022,Not Delivered,0,Not Shipped,4093.6,27442.33,,,
SHP000053,PO000053,Safexpress,Road,02-01-2024,29-01-2024,06-02-2024,8,Delivered,3896.08,32965.78,,,
SHP000054,PO000054,XpressBees,Air,22-05-2022,17-06-2022,23-06-2022,6,Delivered,569.06,24083.12,,,
SHP000055,PO000055,Delhivery,Sea,05-07-2023,29-07-2023,Not Delivered,0,Not Shipped,3404.54,11956.74,,,
SHP000056,PO000056,TCI Express,Air,08-06-2022,05-07-2022,Not Delivered,0,Not Shipped,4394.52,205034.85,,,
SHP000057,PO000057,Ecom Express,Road,08-07-2023,05-08-2023,16-08-2023,11,Delivered,2795.11,24432.06,,,
SHP000058,PO000058,Safexpress,Rail,20-06-2022,27-06-2022,08-07-2022,11,Delivered,626.98,3428.74,,,
SHP000059,PO000059,Safexpress,Air,28-12-2022,24-01-2023,28-01-2023,4,In Transit,3443.28,139173.26,,,
SHP000060,PO000060,Safexpress,Road,11-05-2024,19-05-2024,17-05-2024,0,Delivered,3798.03,25753.09,,,
SHP000061,PO000061,XpressBees,Road,09-04-2022,08-05-2022,Not Delivered,0,Not Shipped,2052.44,16829.01,,,
SHP000062,PO000062,Delhivery,Rail,15-04-2022,02-05-2022,30-04-2022,0,In Transit,1254.39,7197.91,,,
SHP000063,PO000063,XpressBees,Sea,01-12-2022,25-12-2022,02-01-2023,8,In Transit,2235.83,7548.74,,,
SHP000064,PO000064,Safexpress,Rail,18-12-2024,09-01-2025,19-01-2025,10,Delivered,2454.58,10029.52,,,
SHP000065,PO000065,BlueDart,Rail,24-08-2023,19-09-2023,24-09-2023,5,Delivered,259.73,1335.04,,,
SHP000066,PO000066,FedEx India,Road,28-03-2024,15-04-2024,25-04-2024,10,Delivered,4929.58,39518.37,,,
SHP000067,PO000067,FedEx India,Road,07-04-2023,09-05-2023,Not Delivered,0,Cancelled,4248.31,28213.24,,,
SHP000068,PO000068,XpressBees,Road,27-03-2023,09-04-2023,Not Delivered,0,Cancelled,348.2,2602.6,,,
SHP000069,PO000069,DTDC,Road,13-07-2022,31-07-2022,14-08-2022,14,Delivered,4626.67,40229.73,,,
SHP000070,PO000070,TCI Express,Rail,25-03-2024,06-04-2024,Not Delivered,0,Cancelled,1660.17,9404.43,,,
SHP000071,PO000071,Rivigo,Sea,13-08-2023,30-08-2023,30-08-2023,0,Delivered,3611.53,10973.45,,,
SHP000072,PO000072,BlueDart,Road,17-05-2023,25-05-2023,Not Delivered,0,Cancelled,3186.54,25211.3,,,
SHP000073,PO000073,Rivigo,Road,05-09-2023,04-10-2023,06-10-2023,2,Delivered,336.3,2423.72,,,
SHP000074,PO000074,Safexpress,Road,19-03-2023,04-04-2023,07-04-2023,3,Delivered,4830.62,39926.86,,,
SHP000075,PO000075,FedEx India,Air,15-07-2022,23-07-2022,03-08-2022,11,Delivered,3814.82,138322.56,,,
SHP000076,PO000076,TCI Express,Rail,04-04-2023,26-04-2023,Not Delivered,0,Cancelled,3520.74,20028.22,,,
SHP000077,PO000077,TCI Express,Air,07-11-2024,08-12-2024,Not Delivered,0,Not Shipped,4549.52,228252.73,,,
SHP000078,PO000078,Ecom Express,Air,13-05-2022,14-06-2022,Not Delivered,0,Not Shipped,2166.26,90070.77,,,
SHP000079,PO000079,XpressBees,Road,07-06-2024,01-07-2024,05-07-2024,4,Delivered,1966.2,17467.81,,,
SHP000080,PO000080,BlueDart,Road,26-04-2022,18-05-2022,Not Delivered,0,Not Shipped,3865.19,26322.1,,,
SHP000081,PO000081,Shadowfax,Road,24-03-2024,24-04-2024,Not Delivered,0,Not Shipped,3888.88,31508.87,,,
SHP000082,PO000082,Shadowfax,Road,05-03-2023,28-03-2023,27-03-2023,0,Delivered,4106.22,28747.64,,,
SHP000083,PO000083,Ecom Express,Rail,27-05-2024,15-06-2024,23-06-2024,8,Delivered,3963.37,17216.84,,,
SHP000084,PO000084,Delhivery,Air,14-06-2024,27-06-2024,Not Delivered,0,Cancelled,2006.19,89355.11,,,
SHP000085,PO000085,BlueDart,Road,14-07-2023,13-08-2023,Not Delivered,0,Not Shipped,2881.11,21048.1,,,
SHP000086,PO000086,XpressBees,Road,04-05-2023,11-05-2023,26-05-2023,15,Delivered,4747.55,37069.89,,,
SHP000087,PO000087,FedEx India,Rail,13-06-2022,07-07-2022,Not Delivered,0,Not Shipped,4134.51,18196.62,,,
SHP000088,PO000088,Rivigo,Road,05-07-2023,13-07-2023,Not Delivered,0,Cancelled,2526.83,21965.47,,,
SHP000089,PO000089,Delhivery,Air,05-05-2024,15-05-2024,12-05-2024,0,In Transit,686.77,29146.62,,,
SHP000090,PO000090,Delhivery,Road,27-02-2023,14-03-2023,28-03-2023,14,Delivered,698.08,4807.28,,,
SHP000091,PO000091,BlueDart,Rail,08-05-2023,15-06-2023,14-06-2023,0,Delivered,4416.27,24173.11,,,
SHP000092,PO000092,Shadowfax,Road,21-03-2024,16-04-2024,Not Delivered,0,Cancelled,291.67,2355.12,,,
SHP000093,PO000093,Rivigo,Road,01-12-2024,23-12-2024,24-12-2024,1,Delivered,3371.89,29761.17,,,
SHP000094,PO000094,Ecom Express,Road,08-10-2022,20-10-2022,Not Delivered,0,Cancelled,4766.92,42110.12,,,
SHP000095,PO000095,Delhivery,Road,10-08-2024,12-09-2024,18-09-2024,6,Delivered,3210.1,27876.46,,,
SHP000096,PO000096,Delhivery,Road,19-04-2024,19-05-2024,19-05-2024,0,Delivered,2434.56,19847.78,,,
SHP000097,PO000097,XpressBees,Road,23-03-2024,26-03-2024,29-03-2024,3,Delivered,3122.16,23941.7,,,
SHP000098,PO000098,XpressBees,Road,06-05-2024,28-05-2024,11-06-2024,14,Delivered,1812.44,13127.63,,,
SHP000099,PO000099,Rivigo,Rail,20-05-2024,28-05-2024,12-06-2024,15,In Transit,4254.05,20552.32,,,
SHP000100,PO000100,FedEx India,Rail,08-05-2024,14-05-2024,Not Delivered,0,Cancelled,1903.43,7893.23,,,
SHP000101,PO000101,TCI Express,Rail,11-05-2023,27-05-2023,10-06-2023,14,Delivered,810.96,4430.54,,,
SHP000102,PO000102,TCI Express,Rail,05-01-2022,21-01-2022,21-01-2022,0,In Transit,3450.34,17633.82,,,
SHP000103,PO000103,Delhivery,Road,06-11-2024,29-11-2024,Not Delivered,0,Not Shipped,4060.51,37894.27,,,
SHP000104,PO000104,BlueDart,Road,05-10-2024,09-11-2024,12-11-2024,3,Delivered,2181.88,17941.3,,,
SHP000105,PO000105,DTDC,Sea,11-06-2024,13-07-2024,Not Delivered,0,Cancelled,1769.13,4597.75,,,
SHP000106,PO000106,XpressBees,Road,06-07-2022,21-07-2022,Not Delivered,0,Cancelled,3400.29,30347.52,,,
SHP000107,PO000107,Rivigo,Road,02-12-2022,20-12-2022,Not Delivered,0,Cancelled,3527.79,22787.09,,,
SHP000108,PO000108,FedEx India,Road,17-06-2023,25-06-2023,03-07-2023,8,Delivered,4183.31,35848.77,,,
SHP000109,PO000109,XpressBees,Road,05-10-2022,07-11-2022,Not Delivered,0,Not Shipped,4101.3,33703.68,,,
SHP000110,PO000110,TCI Express,Air,22-08-2022,08-09-2022,16-09-2022,8,In Transit,2324.94,95153.93,,,
SHP000111,PO000111,Safexpress,Road,02-08-2022,26-08-2022,28-08-2022,2,In Transit,1842.02,13157.09,,,
SHP000112,PO000112,Shadowfax,Road,11-07-2023,04-08-2023,Not Delivered,0,Cancelled,1293.18,9731.65,,,
SHP000113,PO000113,Shadowfax,Road,18-07-2024,16-08-2024,13-08-2024,0,Delivered,1758.67,11458.12,,,
SHP000114,PO000114,BlueDart,Road,12-01-2023,26-01-2023,03-02-2023,8,Delivered,4239.97,37762.54,,,
SHP000115,PO000115,Shadowfax,Rail,07-04-2024,01-05-2024,07-05-2024,6,Delivered,367.08,1828.61,,,
SHP000116,PO000116,Safexpress,Rail,11-06-2023,07-07-2023,17-07-2023,10,Delivered,4629.66,18703.48,,,
SHP000117,PO000117,BlueDart,Rail,26-04-2022,30-05-2022,04-06-2022,5,Delivered,494.34,2736,,,
SHP000118,PO000118,Safexpress,Air,21-06-2023,29-06-2023,Not Delivered,0,Cancelled,1493.18,55626.76,,,
SHP000119,PO000119,TCI Express,Road,20-09-2023,03-10-2023,08-10-2023,5,Delivered,3893.14,36264.04,,,
SHP000120,PO000120,XpressBees,Road,23-12-2023,01-01-2024,10-01-2024,9,Delivered,1785.11,13254.48,,,
SHP000121,PO000121,Safexpress,Air,11-05-2024,06-06-2024,20-06-2024,14,In Transit,843.32,38135.48,,,
SHP000122,PO000122,Rivigo,Rail,03-02-2024,20-02-2024,29-02-2024,9,In Transit,2483.37,14150.92,,,
SHP000123,PO000123,FedEx India,Road,08-06-2023,19-06-2023,18-06-2023,0,Delivered,4699.51,33834.35,,,
SHP000124,PO000124,DTDC,Rail,27-03-2023,29-04-2023,08-05-2023,9,Delivered,203.45,1162.06,,,
SHP000125,PO000125,Shadowfax,Rail,26-12-2023,12-01-2024,21-01-2024,9,Delivered,700.3,3533.5,,,
SHP000126,PO000126,Rivigo,Rail,05-08-2023,27-08-2023,04-09-2023,8,Delivered,2068.96,8898.59,,,
SHP000127,PO000127,Ecom Express,Rail,02-04-2023,15-04-2023,17-04-2023,2,Delivered,1183.55,5042.99,,,
SHP000128,PO000128,BlueDart,Road,01-03-2024,15-03-2024,Not Delivered,0,Not Shipped,323.9,2467.82,,,
SHP000129,PO000129,Safexpress,Rail,27-10-2022,12-11-2022,17-11-2022,5,Delivered,4293.72,24483.28,,,
SHP000130,PO000130,TCI Express,Road,08-08-2022,25-08-2022,Not Delivered,0,Not Shipped,4900.72,40260.21,,,
SHP000131,PO000131,DTDC,Rail,04-04-2024,01-05-2024,Not Delivered,0,Cancelled,3607.29,14832.48,,,
SHP000132,PO000132,Shadowfax,Rail,03-01-2023,26-01-2023,04-02-2023,9,Delivered,3250.39,15271.1,,,
SHP000133,PO000133,BlueDart,Rail,01-02-2022,08-02-2022,18-02-2022,10,Delivered,1833.14,10178.07,,,
SHP000134,PO000134,Shadowfax,Rail,06-07-2022,19-07-2022,17-07-2022,0,Delivered,4103.88,21484.22,,,
SHP000135,PO000135,Rivigo,Road,22-05-2024,16-06-2024,Not Delivered,0,Not Shipped,3786.58,28332.08,,,
SHP000136,PO000136,Delhivery,Road,24-06-2024,01-08-2024,04-08-2024,3,Delivered,1484.7,12214.19,,,
SHP000137,PO000137,Safexpress,Road,07-12-2023,30-12-2023,29-12-2023,0,Delivered,783.29,7345.17,,,
SHP000138,PO000138,XpressBees,Sea,05-04-2022,10-04-2022,Not Delivered,0,Cancelled,3549.42,12500.54,,,
SHP000139,PO000139,FedEx India,Rail,26-02-2023,12-03-2023,15-03-2023,3,Delivered,2010.62,11268.48,,,
SHP000140,PO000140,FedEx India,Road,19-12-2023,13-01-2024,Not Delivered,0,Not Shipped,26.38,244.89,,,
SHP000141,PO000141,TCI Express,Rail,12-09-2023,23-09-2023,28-09-2023,5,Delivered,4160.9,24865.43,,,
SHP000142,PO000142,DTDC,Air,06-02-2024,04-03-2024,04-03-2024,0,Delivered,524.02,25818.82,,,
SHP000143,PO000143,DTDC,Air,26-05-2024,29-05-2024,27-05-2024,0,Delivered,3730.22,142301.97,,,
SHP000144,PO000144,Shadowfax,Road,03-01-2024,07-02-2024,07-02-2024,0,Delivered,1816.57,17298.09,,,
SHP000145,PO000145,Shadowfax,Sea,12-08-2024,30-08-2024,30-08-2024,0,In Transit,4876.45,14209.75,,,
SHP000146,PO000146,Rivigo,Road,09-11-2022,19-11-2022,02-12-2022,13,Delivered,4107.93,30913.56,,,
SHP000147,PO000147,Rivigo,Road,09-11-2023,26-11-2023,07-12-2023,11,Delivered,3769.11,27612.75,,,
SHP000148,PO000148,Rivigo,Rail,28-01-2023,13-02-2023,26-02-2023,13,Delivered,3280.47,14337.69,,,
SHP000149,PO000149,Ecom Express,Road,05-02-2024,27-02-2024,Not Delivered,0,Not Shipped,3675.11,35037.79,,,
SHP000150,PO000150,Safexpress,Rail,04-09-2022,18-09-2022,28-09-2022,10,Delivered,868.99,4769.11,,,
SHP000151,PO000151,Rivigo,Road,17-10-2023,05-11-2023,05-11-2023,0,Delivered,1214.43,9277.7,,,
SHP000152,PO000152,TCI Express,Road,08-06-2024,05-07-2024,20-07-2024,15,Delivered,3967.22,33324.76,,,
SHP000153,PO000153,TCI Express,Air,23-04-2024,30-04-2024,Not Delivered,0,Not Shipped,1369.93,49474.08,,,
SHP000154,PO000154,XpressBees,Sea,07-05-2022,08-06-2022,Not Delivered,0,Cancelled,2952.25,8269.78,,,
SHP000155,PO000155,DTDC,Rail,03-02-2024,12-02-2024,20-02-2024,8,Delivered,1720.79,9070.2,,,
SHP000156,PO000156,XpressBees,Air,03-02-2023,28-02-2023,12-03-2023,12,Delivered,4421.03,217326.47,,,
SHP000157,PO000157,XpressBees,Sea,13-02-2022,18-03-2022,Not Delivered,0,Not Shipped,2371.99,5860.04,,,
SHP000158,PO000158,FedEx India,Road,19-06-2024,03-07-2024,Not Delivered,0,Not Shipped,4854.96,39072.52,,,
SHP000159,PO000159,Shadowfax,Road,14-03-2022,02-04-2022,03-04-2022,1,In Transit,1089.95,9570.24,,,
SHP000160,PO000160,Safexpress,Rail,02-09-2024,26-09-2024,28-09-2024,2,In Transit,2767.5,13181.7,,,
SHP000161,PO000161,BlueDart,Rail,03-04-2024,06-05-2024,Not Delivered,0,Not Shipped,2361.62,12120.4,,,
SHP000162,PO000162,Safexpress,Rail,18-04-2022,01-05-2022,03-05-2022,2,In Transit,4711.79,24230.69,,,
SHP000163,PO000163,Delhivery,Rail,22-12-2024,02-01-2025,Not Delivered,0,Cancelled,1348.48,6400.89,,,
SHP000164,PO000164,Shadowfax,Rail,14-04-2022,19-05-2022,19-05-2022,0,In Transit,4020.88,23167.4,,,
SHP000165,PO000165,TCI Express,Road,12-05-2022,29-05-2022,30-05-2022,1,Delivered,2358.41,21032.3,,,
SHP000166,PO000166,Rivigo,Road,24-11-2023,17-12-2023,16-12-2023,0,Delivered,3300.06,24824.92,,,
SHP000167,PO000167,BlueDart,Road,17-06-2024,19-07-2024,22-07-2024,3,In Transit,1289.26,10207.5,,,
SHP000168,PO000168,Shadowfax,Sea,13-11-2023,06-12-2023,20-12-2023,14,Delivered,3350.19,10638.84,,,
SHP000169,PO000169,XpressBees,Rail,24-10-2024,18-11-2024,15-11-2024,0,Delivered,1328.15,7091.14,,,
SHP000170,PO000170,XpressBees,Road,23-03-2022,07-04-2022,18-04-2022,11,Delivered,187.12,1504.28,,,
SHP000171,PO000171,Delhivery,Road,24-10-2024,17-11-2024,19-11-2024,2,Delivered,2235.45,14501.41,,,
SHP000172,PO000172,Shadowfax,Rail,24-05-2022,12-06-2022,Not Delivered,0,Cancelled,2336.11,13096.08,,,
SHP000173,PO000173,FedEx India,Rail,13-04-2023,06-05-2023,Not Delivered,0,Not Shipped,4617.98,20372.94,,,
SHP000174,PO000174,Shadowfax,Rail,26-12-2024,06-01-2025,Not Delivered,0,Cancelled,992.36,5498.07,,,
SHP000175,PO000175,Shadowfax,Road,05-12-2022,01-01-2023,Not Delivered,0,Not Shipped,560.5,3758.94,,,
SHP000176,PO000176,BlueDart,Road,28-12-2023,12-01-2024,13-01-2024,1,Delivered,2162.67,15366.4,,,
SHP000177,PO000177,BlueDart,Rail,25-03-2024,07-04-2024,09-04-2024,2,Delivered,4237.95,20459.91,,,
SHP000178,PO000178,Delhivery,Road,05-05-2023,24-05-2023,07-06-2023,14,Delivered,3985.99,29730.12,,,
SHP000179,PO000179,Ecom Express,Road,17-07-2024,13-08-2024,10-08-2024,0,Delivered,2990.23,27711.58,,,
SHP000180,PO000180,Shadowfax,Road,22-06-2022,30-06-2022,14-07-2022,14,Delivered,690.44,5646.88,,,
SHP000181,PO000181,DTDC,Road,23-08-2024,22-09-2024,27-09-2024,5,Delivered,954.22,8684.67,,,
SHP000182,PO000182,Rivigo,Air,02-10-2022,01-11-2022,13-11-2022,12,Delivered,2979.04,126650.11,,,
SHP000183,PO000183,TCI Express,Road,24-11-2024,24-12-2024,Not Delivered,0,Cancelled,1647.31,15060.34,,,
SHP000184,PO000184,BlueDart,Road,27-05-2023,14-06-2023,12-06-2023,0,Delivered,2928.06,27778.55,,,
SHP000185,PO000185,Delhivery,Air,10-05-2022,25-05-2022,25-05-2022,0,Delivered,2691.74,102635.91,,,
SHP000186,PO000186,Safexpress,Road,19-06-2024,01-07-2024,02-07-2024,1,Delivered,844.43,6317.11,,,
SHP000187,PO000187,Safexpress,Rail,24-01-2024,23-02-2024,24-02-2024,1,Delivered,1939.59,8613.07,,,
SHP000188,PO000188,Ecom Express,Road,18-04-2023,01-05-2023,03-05-2023,2,In Transit,3680.26,24274.73,,,
SHP000189,PO000189,Shadowfax,Sea,11-02-2022,12-03-2022,21-03-2022,9,Delivered,3309.58,8783.05,,,
SHP000190,PO000190,TCI Express,Road,13-11-2022,21-11-2022,29-11-2022,8,Delivered,3389.4,27986.04,,,
SHP000191,PO000191,XpressBees,Road,05-07-2024,16-07-2024,22-07-2024,6,In Transit,3598.84,34548.51,,,
SHP000192,PO000192,BlueDart,Rail,16-06-2023,08-07-2023,Not Delivered,0,Not Shipped,875.44,3763.82,,,
SHP000193,PO000193,XpressBees,Air,24-10-2022,28-11-2022,07-12-2022,9,In Transit,4676.06,246508.53,,,
SHP000194,PO000194,Rivigo,Road,07-06-2023,06-07-2023,21-07-2023,15,Delivered,1042.94,8908.1,,,
SHP000195,PO000195,Rivigo,Road,19-11-2023,17-12-2023,18-12-2023,1,In Transit,1327.62,12351.56,,,
SHP000196,PO000196,Ecom Express,Air,15-10-2023,04-11-2023,17-11-2023,13,Delivered,2729.95,130244.1,,,
SHP000197,PO000197,Rivigo,Road,07-10-2024,23-10-2024,20-10-2024,0,Delivered,3892.45,32178.72,,,
SHP000198,PO000198,TCI Express,Road,08-05-2024,29-05-2024,27-05-2024,0,Delivered,2729.07,18326.41,,,
SHP000199,PO000199,Safexpress,Road,06-08-2022,28-08-2022,Not Delivered,0,Not Shipped,4653.58,44113.78,,,
SHP000200,PO000200,Ecom Express,Road,23-04-2024,19-05-2024,19-05-2024,0,Delivered,786.07,6689.79,,,
SHP000201,PO000201,Shadowfax,Road,03-02-2023,27-02-2023,Not Delivered,0,Not Shipped,4344.28,37004.17,,,
SHP000202,PO000202,FedEx India,Rail,11-04-2024,10-05-2024,23-05-2024,13,In Transit,1806.82,8395.79,,,
SHP000203,PO000203,DTDC,Rail,11-02-2024,23-02-2024,28-02-2024,5,Delivered,2997.82,13172.9,,,
SHP000204,PO000204,Delhivery,Rail,27-03-2022,13-04-2022,27-04-2022,14,In Transit,4653.65,25342.8,,,
SHP000205,PO000205,DTDC,Rail,11-07-2023,03-08-2023,Not Delivered,0,Not Shipped,2311.69,10945.39,,,
SHP000206,PO000206,BlueDart,Sea,19-02-2022,04-03-2022,01-03-2022,0,Delivered,1888.23,6724.67,,,
SHP000207,PO000207,Ecom Express,Air,13-09-2023,22-09-2023,23-09-2023,1,Delivered,3328.58,144164.3,,,
SHP000208,PO000208,DTDC,Sea,14-01-2022,17-02-2022,21-02-2022,4,Delivered,116.69,320.83,,,
SHP000209,PO000209,TCI Express,Road,26-08-2022,08-09-2022,16-09-2022,8,In Transit,3725.67,29125.16,,,
SHP000210,PO000210,Shadowfax,Road,09-01-2023,27-01-2023,03-02-2023,7,Delivered,585.51,4094.61,,,
SHP000211,PO000211,Rivigo,Rail,11-02-2024,07-03-2024,Not Delivered,0,Cancelled,947.74,5209.77,,,
SHP000212,PO000212,Rivigo,Road,17-02-2024,11-03-2024,Not Delivered,0,Cancelled,2954.41,23845.21,,,
SHP000213,PO000213,BlueDart,Rail,21-06-2022,24-07-2022,Not Delivered,0,Cancelled,3393.02,14291.85,,,
SHP000214,PO000214,Rivigo,Sea,15-03-2024,28-03-2024,29-03-2024,1,Delivered,4436.62,12645.85,,,
SHP000215,PO000215,Rivigo,Road,25-02-2024,09-03-2024,15-03-2024,6,In Transit,4281.34,40619.37,,,
SHP000216,PO000216,FedEx India,Road,19-04-2023,02-05-2023,17-05-2023,15,Delivered,3907.23,33445.57,,,
SHP000217,PO000217,TCI Express,Sea,21-06-2024,26-07-2024,Not Delivered,0,Not Shipped,4727.92,12266.91,,,
SHP000218,PO000218,FedEx India,Road,25-03-2023,07-04-2023,17-04-2023,10,Delivered,1000,7039.28,,,
SHP000219,PO000219,TCI Express,Road,18-11-2022,19-12-2022,26-12-2022,7,Delivered,3230.63,30474.3,,,
SHP000220,PO000220,Safexpress,Air,10-07-2022,10-08-2022,12-08-2022,2,Delivered,1320.57,57950.87,,,
SHP000221,PO000221,Shadowfax,Road,07-07-2023,24-07-2023,03-08-2023,10,Delivered,757.65,5730.52,,,
SHP000222,PO000222,Shadowfax,Road,04-11-2024,02-12-2024,06-12-2024,4,Delivered,3937.16,28407.54,,,
SHP000223,PO000223,Rivigo,Road,08-11-2024,22-11-2024,23-11-2024,1,In Transit,1133.77,8023.21,,,
SHP000224,PO000224,BlueDart,Sea,07-05-2024,13-05-2024,12-05-2024,0,Delivered,4104.41,13884.96,,,
